train.loss	train.raw_acc	train.mjpeg_acc	train.adv_loss	val.ssim	val.psnr	val.crop_acc	val.scale_acc	val.mjpeg_acc	epoch
1.384	0.52	0.523	NaN	0.975	42.074	0.535	0.533	0.535	1
1.383	0.527	0.532	NaN	0.976	42.095	0.526	0.525	0.527	2
1.382	0.528	0.533	NaN	0.976	42.041	0.529	0.527	0.532	3
1.382	0.529	0.533	NaN	0.975	42.031	0.528	0.523	0.529	4
1.382	0.528	0.532	NaN	0.975	42.025	0.528	0.526	0.529	5
1.381	0.529	0.534	NaN	0.976	42.003	0.534	0.531	0.534	6
1.381	0.532	0.536	NaN	0.975	42.007	0.529	0.525	0.529	7
1.381	0.53	0.535	NaN	0.974	42.006	0.532	0.531	0.534	8
1.381	0.532	0.536	NaN	0.974	42.007	0.53	0.526	0.53	9
1.38	0.531	0.536	NaN	0.975	41.999	0.537	0.536	0.539	10
1.38	0.531	0.536	NaN	0.976	42.009	0.526	0.523	0.527	11
1.38	0.532	0.536	NaN	0.975	41.993	0.533	0.531	0.534	12
1.38	0.533	0.538	NaN	0.976	41.994	0.527	0.525	0.528	13
1.38	0.533	0.538	NaN	0.975	41.993	0.528	0.527	0.528	14
1.38	0.532	0.537	NaN	0.976	42.0	0.535	0.532	0.537	15
1.38	0.532	0.536	NaN	0.974	41.996	0.538	0.537	0.539	16
1.379	0.533	0.537	NaN	0.974	41.994	0.534	0.528	0.533	17
1.379	0.533	0.538	NaN	0.974	41.986	0.537	0.535	0.537	18
1.379	0.533	0.538	NaN	0.974	41.98	0.534	0.532	0.536	19
1.375	0.535	0.54	NaN	0.972	41.986	0.538	0.534	0.539	20
1.366	0.541	0.547	NaN	0.973	42.037	0.546	0.545	0.552	21
1.33	0.557	0.568	NaN	0.964	42.073	0.552	0.55	0.564	22
1.265	0.59	0.602	NaN	0.962	42.039	0.594	0.604	0.619	23
1.213	0.613	0.633	NaN	0.962	42.035	0.614	0.616	0.636	24
1.167	0.633	0.651	NaN	0.961	42.026	0.64	0.64	0.661	25
1.145	0.642	0.661	NaN	0.961	42.027	0.637	0.639	0.662	26
1.128	0.648	0.671	NaN	0.963	42.017	0.643	0.64	0.667	27
1.114	0.653	0.676	NaN	0.96	42.02	0.651	0.653	0.679	28
1.086	0.664	0.685	NaN	0.963	42.021	0.66	0.667	0.691	29
1.061	0.672	0.695	NaN	0.96	42.024	0.664	0.672	0.701	30
1.047	0.679	0.704	NaN	0.962	42.032	0.67	0.679	0.709	31
1.023	0.688	0.715	NaN	0.961	42.02	0.681	0.687	0.72	32
0.995	0.698	0.722	NaN	0.96	42.027	0.688	0.696	0.731	33
1.017	0.693	0.723	NaN	0.961	42.03	0.69	0.7	0.734	34
0.979	0.71	0.737	NaN	0.961	42.029	0.696	0.707	0.747	35
0.963	0.717	0.751	NaN	0.962	42.031	0.702	0.712	0.745	36
0.936	0.729	0.76	NaN	0.962	42.055	0.712	0.725	0.77	37
0.916	0.741	0.77	NaN	0.961	42.049	0.703	0.714	0.759	38
0.922	0.735	0.771	NaN	0.962	42.04	0.722	0.737	0.777	39
0.913	0.741	0.781	NaN	0.961	42.045	0.718	0.737	0.779	40
0.872	0.759	0.791	NaN	0.96	42.042	0.735	0.746	0.796	41
0.865	0.765	0.805	NaN	0.96	42.041	0.736	0.756	0.807	42
0.834	0.778	0.82	NaN	0.961	42.029	0.77	0.775	0.832	43
0.802	0.793	0.829	NaN	0.96	42.032	0.769	0.767	0.831	44
0.772	0.803	0.841	NaN	0.96	42.051	0.778	0.779	0.844	45
0.787	0.794	0.845	NaN	0.961	42.036	0.774	0.777	0.843	46
0.739	0.823	0.85	NaN	0.959	42.051	0.772	0.788	0.852	47
0.713	0.833	0.863	NaN	0.959	42.032	0.792	0.802	0.868	48
0.7	0.837	0.871	NaN	0.961	42.045	0.786	0.792	0.863	49
0.655	0.854	0.882	NaN	0.959	42.044	0.799	0.808	0.882	50
0.704	0.831	0.879	NaN	0.958	42.044	0.803	0.812	0.885	51
0.676	0.837	0.887	NaN	0.96	42.059	0.785	0.788	0.866	52
0.625	0.859	0.893	NaN	0.959	42.036	0.824	0.829	0.897	53
0.642	0.851	0.891	NaN	0.959	42.04	0.826	0.814	0.891	54
0.576	0.876	0.902	NaN	0.957	42.041	0.816	0.816	0.899	55
0.563	0.879	0.904	NaN	0.956	42.045	0.814	0.83	0.895	56
0.577	0.871	0.902	NaN	0.958	42.052	0.811	0.829	0.899	57
0.606	0.861	0.892	NaN	0.96	42.047	0.823	0.824	0.892	58
0.553	0.878	0.905	NaN	0.957	42.047	0.815	0.833	0.907	59
0.546	0.879	0.911	NaN	0.959	42.05	0.825	0.821	0.896	60
0.522	0.886	0.914	NaN	0.957	42.048	0.841	0.837	0.919	61
0.536	0.878	0.913	NaN	0.957	42.048	0.832	0.835	0.913	62
0.506	0.887	0.918	NaN	0.958	42.052	0.836	0.851	0.912	63
0.511	0.887	0.917	NaN	0.957	42.055	0.83	0.833	0.909	64
0.518	0.883	0.916	NaN	0.958	42.055	0.843	0.834	0.918	65
0.467	0.906	0.917	NaN	0.957	42.063	0.839	0.844	0.917	66
0.513	0.882	0.918	NaN	0.958	42.064	0.847	0.846	0.919	67
0.473	0.896	0.924	NaN	0.958	42.062	0.841	0.84	0.916	68
0.488	0.891	0.921	NaN	0.957	42.061	0.843	0.849	0.922	69
0.463	0.9	0.924	NaN	0.957	42.083	0.852	0.85	0.926	70
0.448	0.904	0.926	NaN	0.958	42.073	0.854	0.842	0.923	71
0.463	0.898	0.924	NaN	0.958	42.082	0.828	0.836	0.908	72
0.432	0.911	0.926	NaN	0.958	42.072	0.861	0.861	0.931	73
0.413	0.918	0.927	NaN	0.958	42.081	0.84	0.846	0.923	74
0.422	0.912	0.927	NaN	0.959	42.083	0.846	0.848	0.923	75
0.416	0.914	0.929	NaN	0.957	42.09	0.855	0.854	0.924	76
0.413	0.918	0.926	NaN	0.957	42.077	0.843	0.845	0.921	77
0.422	0.911	0.928	NaN	0.957	42.103	0.849	0.836	0.919	78
0.447	0.9	0.928	NaN	0.958	42.108	0.85	0.833	0.921	79
0.42	0.91	0.929	NaN	0.956	42.098	0.858	0.851	0.926	80
0.383	0.926	0.933	NaN	0.958	42.11	0.861	0.86	0.924	81
0.396	0.919	0.929	NaN	0.956	42.101	0.856	0.844	0.93	82
0.413	0.913	0.929	NaN	0.955	42.106	0.853	0.85	0.926	83
0.39	0.92	0.93	NaN	0.959	42.117	0.843	0.836	0.919	84
0.412	0.914	0.925	NaN	0.955	42.115	0.862	0.834	0.925	85
0.398	0.919	0.93	NaN	0.958	42.117	0.866	0.835	0.923	86
0.377	0.923	0.933	NaN	0.958	42.122	0.857	0.847	0.933	87
0.372	0.924	0.933	NaN	0.956	42.116	0.867	0.849	0.93	88
0.383	0.921	0.932	NaN	0.956	42.112	0.859	0.848	0.928	89
0.373	0.924	0.935	NaN	0.957	42.124	0.85	0.853	0.925	90
0.372	0.924	0.935	NaN	0.958	42.139	0.854	0.849	0.926	91
0.384	0.92	0.933	NaN	0.956	42.135	0.861	0.864	0.928	92
0.358	0.932	0.931	NaN	0.956	42.131	0.857	0.85	0.93	93
0.374	0.923	0.935	NaN	0.956	42.138	0.86	0.847	0.924	94
0.396	0.918	0.927	NaN	0.958	42.138	0.854	0.844	0.927	95
0.35	0.933	0.934	NaN	0.958	42.129	0.854	0.841	0.933	96
0.415	0.914	0.922	NaN	0.96	42.147	0.841	0.835	0.908	97
0.377	0.927	0.928	NaN	0.958	42.125	0.862	0.844	0.929	98
0.357	0.929	0.935	NaN	0.957	42.137	0.862	0.851	0.931	99
0.37	0.925	0.935	NaN	0.956	42.144	0.865	0.855	0.934	100
0.347	0.933	0.936	NaN	0.957	42.142	0.862	0.856	0.93	101
0.36	0.928	0.934	NaN	0.957	42.125	0.858	0.843	0.928	102
0.34	0.935	0.933	NaN	0.955	42.135	0.872	0.846	0.935	103
0.329	0.938	0.936	NaN	0.956	42.146	0.872	0.85	0.939	104
0.346	0.93	0.938	NaN	0.957	42.141	0.871	0.843	0.928	105
0.354	0.927	0.935	NaN	0.956	42.138	0.863	0.858	0.936	106
0.328	0.94	0.937	NaN	0.957	42.128	0.875	0.842	0.931	107
0.332	0.937	0.936	NaN	0.958	42.134	0.879	0.85	0.933	108
0.337	0.933	0.937	NaN	0.957	42.13	0.875	0.827	0.931	109
0.365	0.928	0.931	NaN	0.957	42.134	0.871	0.852	0.927	110
0.335	0.935	0.936	NaN	0.957	42.131	0.869	0.85	0.935	111
0.317	0.942	0.938	NaN	0.958	42.135	0.864	0.836	0.931	112
0.36	0.927	0.933	NaN	0.957	42.149	0.853	0.847	0.926	113
0.348	0.932	0.932	NaN	0.957	42.135	0.864	0.855	0.931	114
0.307	0.945	0.938	NaN	0.956	42.14	0.88	0.858	0.937	115
0.324	0.939	0.935	NaN	0.957	42.158	0.866	0.852	0.931	116
0.357	0.927	0.934	NaN	0.956	42.137	0.862	0.843	0.935	117
0.309	0.944	0.939	NaN	0.956	42.138	0.868	0.837	0.939	118
0.321	0.94	0.937	NaN	0.957	42.132	0.876	0.861	0.939	119
0.353	0.928	0.935	NaN	0.959	42.15	0.861	0.848	0.929	120
0.322	0.94	0.937	NaN	0.957	42.139	0.859	0.847	0.935	121
0.331	0.935	0.937	NaN	0.958	42.137	0.867	0.857	0.932	122
0.321	0.939	0.94	NaN	0.956	42.149	0.871	0.834	0.938	123
0.309	0.942	0.94	NaN	0.958	42.153	0.862	0.855	0.933	124
0.331	0.937	0.935	NaN	0.957	42.136	0.861	0.842	0.932	125
